iso3,income_group_2020,gdp_pc_2011_2020
AFG,Low,2080.890892889107
AGO,Lower middle,7414.520047931143
ALB,Upper middle,12241.62499122117
ARE,High,66595.79168091477
ARG,Upper middle,23196.546973328448
ARM,Upper middle,11812.671315797204
ASM,Upper middle,
ATG,High,19745.4291179353
AUS,High,47700.77630011697
AUT,High,53581.1973757329
AZE,Upper middle,14304.5558144568
BDI,Low,775.6056543840933
BEL,High,49511.71999233481
BEN,Lower middle,2901.7351195105903
BFA,Low,1917.949409334953
BGD,Lower middle,4532.045975739612
BGR,Upper middle,20587.46934325729
BHR,High,48481.57105963232
BHS,High,33626.915453437505
BIH,Upper middle,12682.68789932209
BLR,Upper middle,18689.17077056147
BLZ,Upper middle,8907.484961944696
BMU,High,80172.65033655021
BOL,Lower middle,7734.371354093481
BRA,Upper middle,14936.255944869928
BRB,High,15646.01888028194
BRN,High,62949.84205598183
BTN,Lower middle,10064.484330786288
BWA,Upper middle,14137.47355913698
CAF,Low,891.545388205275
CAN,High,47371.3628815983
CHE,High,68431.61163391467
CHL,High,24051.77993289087
CHN,Upper middle,13066.772734602093
CIV,Lower middle,4386.520390107207
CMR,Lower middle,3578.7052089589
COD,Low,994.4413845451436
COG,Lower middle,4493.0223911609055
COL,Upper middle,13825.5329686695
COM,Lower middle,3195.308439212909
CPV,Lower middle,6156.873405095393
CRI,Upper middle,19134.56823583648
CUB,Upper middle,
CUW,High,24955.54615133402
CYM,High,68971.01129564228
CYP,High,37104.83515625
CZE,High,36731.772019915006
DEU,High,51568.65372269717
DJI,Lower middle,4305.815110831294
DMA,Upper middle,11948.54100518564
DNK,High,53698.27887085472
DOM,Upper middle,15394.429760348208
DZA,Lower middle,11495.39358868416
ECU,Upper middle,11482.46902298248
EGY,Lower middle,10305.501583668232
ERI,Low,
ESP,High,37630.40953019808
EST,High,32089.291067569528
ETH,Low,1800.0016026795845
FIN,High,46600.87968088138
FJI,Upper middle,11728.84003913914
FRA,High,43651.66896505267
FRO,High,
FSM,Lower middle,3470.7067950178125
GAB,Upper middle,14474.34115254197
GBR,High,44565.34778540338
GEO,Upper middle,12819.95456667331
GHA,Lower middle,4771.295198688072
GIN,Low,2219.8448849042697
GMB,Low,1962.426206320035
GNB,Low,1788.374067403096
GNQ,Upper middle,23431.76021717416
GRC,High,28565.33181490657
GRD,Upper middle,13751.285475039122
GRL,High,
GTM,Upper middle,8095.288272537688
GUM,High,
GUY,Upper middle,12314.7238571405
HKG,High,57053.12334156964
HND,Lower middle,5207.179446668592
HRV,High,25972.15040776974
HTI,Lower middle,3100.943321464481
HUN,High,28189.45763655138
IDN,Lower middle,10314.148067024584
IMN,High,
IND,Lower middle,5524.9691191949005
IRL,High,70149.07480921349
IRN,Lower middle,14578.44391562412
IRQ,Upper middle,9541.023954134162
ISL,High,52560.71497387871
ISR,High,37922.78662670768
ITA,High,41107.75969888932
JAM,Upper middle,9829.756270779904
JOR,Upper middle,10354.883579454648
JPN,High,40214.153826533
KAZ,Upper middle,24337.11388645142
KEN,Lower middle,4201.545767008944
KGZ,Lower middle,4782.939854348571
KHM,Lower middle,3671.174104485855
KIR,Lower middle,1948.601797232839
KNA,High,27835.514235581817
KOR,High,39314.88410140519
KWT,High,53205.237664750624
LAO,Lower middle,6618.442370999081
LBN,Lower middle,17405.56010785298
LBR,Low,1526.519380200979
LBY,Upper middle,22111.90264211367
LCA,Upper middle,14635.79635286851
LIE,High,
LKA,Lower middle,12408.696233744611
LSO,Lower middle,2532.336314355013
LTU,High,31797.778176251966
LUX,High,113641.0318844258
LVA,High,27069.62520569785
MAC,High,124966.84867513756
MAR,Lower middle,7311.71923828125
MDA,Upper middle,10871.870642252929
MDG,Low,1514.65304285748
MDV,Upper middle,17973.76178949073
MEX,Upper middle,19333.40722381484
MHL,Upper middle,4512.6785027783
MKD,Upper middle,15136.55287554404
MLI,Low,2074.6973333634983
MLT,High,39406.55996588509
MMR,Lower middle,3977.752982657827
MNE,Upper middle,18640.28460973094
MNG,Lower middle,10968.764076032814
MNP,High,
MOZ,Low,1228.857022828516
