iso3,lat,lon,nobs,corr_d00_all,diff_d00_all,corr_d01_all,corr_analysis_d01_all,diff_d01_all,corr_d02_all,corr_analysis_d02_all,diff_d02_all,corr_d03_all,corr_analysis_d03_all,diff_d03_all,corr_d04_all,corr_analysis_d04_all,diff_d04_all,corr_d05_all,corr_analysis_d05_all,diff_d05_all,corr_d06_all,corr_analysis_d06_all,diff_d06_all,corr_d07_all,corr_analysis_d07_all,diff_d07_all,corr_d08_all,corr_analysis_d08_all,diff_d08_all,year,time_utc,station_id,corr_d00_subset,diff_d00_subset,corr_d01_subset,corr_analysis_d01_subset,diff_d01_subset,corr_d02_subset,corr_analysis_d02_subset,diff_d02_subset,corr_d03_subset,corr_analysis_d03_subset,diff_d03_subset,corr_d04_subset,corr_analysis_d04_subset,diff_d04_subset,corr_d05_subset,corr_analysis_d05_subset,diff_d05_subset,corr_d06_subset,corr_analysis_d06_subset,diff_d06_subset,corr_d07_subset,corr_analysis_d07_subset,diff_d07_subset,corr_d08_subset,corr_analysis_d08_subset,diff_d08_subset,income_group_2020,gdp_pc_2011_2020,log_gdp_pc_2011_2020
-99,19.32777764117647,13.784885685294118,304.3125,0.6189273665285997,0.9032188441807825,0.5912147454442034,0.8839687496343476,0.993205388075491,0.5741674435224638,0.8311300211121676,1.0264270907354156,0.5524637349953332,0.7900486304831805,1.070268372930832,0.5286625268769887,0.7466908587704353,1.1257614868278467,0.4897285862213806,0.7020902447358469,1.209659189678807,0.4769132737516694,0.655798297639648,1.283471196462418,0.43141204206564343,0.5920857549088338,1.4046320869725515,0.387610363511468,0.5217512084962541,1.5025649635168827,2015.2941176470588,12.0,78367011706.0,0.5269342945758873,0.798028300871006,0.5133665163821004,0.9205543670133706,0.8069754004372994,0.4966478889317278,0.874162625571512,0.8235372861397477,0.4790023690674975,0.833122997434964,0.8386194838066909,0.44850999148285914,0.7750713943379111,0.8569265477342535,0.42905984708624195,0.7333437732054923,0.87146994551748,0.41231489501632235,0.6752183028500658,0.8977550002254058,0.37895496624357344,0.6191168564477839,0.9280302546216801,0.3263668197213342,0.5524884939581598,0.9551201327959493,,,
AFG,33.96545902175926,67.21469751018519,240.58620689655172,0.7641603956182756,1.597698231111997,0.7487268551469062,0.9779823891780263,1.686553002092458,0.7373302040134894,0.962792299311878,1.7454734820485143,0.7162971255376345,0.9459929013175475,1.8321206853551442,0.6920264055069294,0.9222417125670613,1.9312501028778684,0.6643536979186476,0.8913124842794191,2.0540039628271987,0.6274963513732317,0.8488949392853179,2.207492839536598,0.5838755244077415,0.797451279802087,2.3747674526695266,0.5344886922252018,0.7297398966560832,2.5529469507078133,2013.9259259259259,12.0,38954099999.0,0.5627600307795542,2.3458994469813197,0.5741574204450679,0.9710208206281928,2.359748047873584,0.5579363696982294,0.9530783795957541,2.3834513689293733,0.5379585238104763,0.9361778598188307,2.425174241030944,0.5204808568780408,0.9115775589775007,2.4556677352219514,0.5005634817063762,0.8779007212559105,2.492977482874306,0.47088553858052357,0.8367996262033011,2.5893864922242757,0.4472871926413383,0.7777473192428397,2.6482023157994226,0.4131584256514295,0.7147062249513375,2.7578790499898203,Low,2080.890892889107,7.640551394884147
AGO,-10.937109391406251,15.133261575,174.05357142857142,0.4644064756220677,1.2856752837309535,0.3351643346903202,0.7941391141521045,1.4070995520251084,0.2998268216353447,0.7211089032523554,1.4731004484838353,0.2688925319737466,0.6738897166578556,1.5113252375223039,0.29399392545871383,0.6467101030429826,1.5159423311991687,0.27323710646185656,0.6149013140034368,1.5192287809436613,0.2646322833004601,0.5842983201912408,1.5303905438544818,0.224052475655697,0.5503866599400257,1.6090441890216083,0.23910141019332834,0.5150892340868667,1.6018497444945237,2016.421875,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower middle,7414.520047931143,8.911195525293206
AIA,18.204834,-63.055084,326.0,0.38238485934880184,0.7368377459586792,0.31822439821590875,0.6832160413174894,0.7892254396859708,0.26993767037434196,0.5814320122283808,0.7989703741913247,0.26893871703764183,0.5036077137330306,0.8020021529936268,0.25138603021546196,0.4364310175407495,0.8114232506324908,0.22939816160564672,0.4011375327752213,0.821677238314527,0.16647299123757184,0.3441123454066255,0.8530438517413311,0.1846436956710337,0.34717243749961413,0.8530482642982459,0.1376917435375531,0.30184337657995275,0.8637643221714805,2015.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,41.16830464444445,20.0226549,338.7926829268293,0.8103303378177357,1.5904933100293508,0.7872281483473309,0.970213194719759,1.682241095161626,0.7799316688783237,0.9549438381354074,1.7147703643479095,0.7676250881837662,0.9340415165572474,1.7640827794468237,0.7432834916952941,0.9038246274064625,1.850800537884009,0.7076096301335313,0.860201203435734,1.974309906005262,0.6657073243336193,0.7999797843885792,2.123419677292367,0.5896764895901346,0.7067273888499994,2.338291981039084,0.5123401597579649,0.6049439275785232,2.5581566763664934,2015.5,12.0,13615099999.0,0.8260883655912282,1.4961246966839563,0.7918463815867464,0.9596819926501784,1.619433181215402,0.7798890756093169,0.9410368052794233,1.6606473758528353,0.7681152595217615,0.9204663642891694,1.6883379792932875,0.7362348929370948,0.8851180098925955,1.777767674643926,0.7036015024057292,0.8449658366386489,1.870214292017169,0.6420724846539205,0.7763017709252005,2.0160707272549634,0.5579349069445613,0.6807875476363914,2.2067767132014824,0.45911128683378044,0.5727976938631629,2.4048263094643056,Upper middle,12241.62499122117,9.412597307975076
ARE,24.826790936153845,54.92997068692308,278.7107438016529,0.7733402923417997,1.170293035823755,0.7319703640103606,0.9453981952036851,1.2720480920477593,0.7174749586926745,0.9106892428108363,1.3241105538750906,0.7057416020744262,0.8831230646134816,1.3679684291201772,0.6770271524985331,0.8547909157362842,1.4373085463405129,0.6360646396407932,0.8125747957374887,1.5115975992712904,0.5938680557011615,0.7645551622340725,1.5901705646556616,0.5395282088091307,0.718232886543416,1.672441025609892,0.45659071118549077,0.652947724397528,1.8103231042967225,2015.5,12.0,41197849999.0,0.7762901954220403,1.2084790388687203,0.7352992255736925,0.9351544729291594,1.3042930462999336,0.7183342056122648,0.8917394991492135,1.3464749682281696,0.7028473793442276,0.8630839660722287,1.3827680498446682,0.6741052740835024,0.8381744679502384,1.4324400101892933,0.634193890274812,0.7929914074067006,1.5035232080692293,0.5936610547014383,0.7460323160914055,1.5653812139570609,0.5459595644733553,0.700849226515033,1.6392421941321005,0.4865450493294411,0.6352721376662337,1.7334087627921118,High,66595.79168091477,11.106396666557783
ARG,-34.92378279977143,-63.73800895314285,301.4632972322503,0.8222120369089229,1.3096683910745581,0.7970569836555671,0.9704174616082515,1.4335339925673312,0.7789966871401861,0.9514805735866884,1.5044215512226333,0.7615959428709174,0.9304319757494122,1.5826819413278301,0.7396367097768375,0.900634766271627,1.6802165086522012,0.7041208549206632,0.8571266238580664,1.815287321722167,0.6571636823326563,0.7973091359922849,1.974337729514121,0.5879509414341321,0.7133634624919795,2.1980631063310025,0.5017849060318926,0.6168968727560991,2.422805772845726,2015.672,12.0,87491367856.14285,0.8323678201705458,1.350966646868716,0.8071569924268981,0.9699709485646031,1.4825017914048988,0.7921996722566101,0.9508966504230175,1.564279624742143,0.7752381884186302,0.9298904233559642,1.6433436279521094,0.749870161462495,0.8999497894889957,1.756245947605949,0.7112981802397416,0.8561614198503539,1.9026789171711074,0.6621184818890955,0.7965581678691837,2.0764426867629937,0.5910080314042486,0.712641209796736,2.3047516671902226,0.5051896924120719,0.61500943589374,2.553931952986589,Upper middle,23196.546973328448,10.05175870922049
ARM,40.4536038487395,44.504663189075636,327.19417475728153,0.6839189261662956,1.9877059008846805,0.6707751192209037,0.9701093407449474,2.042112901651478,0.6649003391935266,0.9560007807109154,2.0821189105320097,0.6537744558747172,0.9407858239891412,2.128832990063067,0.6352365618618525,0.9162292378159267,2.2072765055049848,0.6008651125458324,0.8777103586262185,2.346919064415909,0.5552174288435394,0.8170452324568572,2.524291978004282,0.4924738366441433,0.7349619960190763,2.738684624897628,0.4316817047068968,0.6636355523021422,2.973456959188217,2016.4705882352941,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper middle,11812.671315797204,9.376928074621462
ASM,-14.306767058823528,-170.70720529411764,151.0,0.35483589908013613,0.7945828401636755,0.33966142131582533,0.6276068090946506,0.8223750821292594,0.2466633776369713,0.5413231083366097,0.8625835773577163,0.17910588448774156,0.4602154219392724,0.8285524221512068,0.2878010663194579,0.4267340701802621,0.8481107226747161,0.24922518385717138,0.4004576258316318,0.8490100129357674,0.215783243505525,0.3639482855933386,0.8884024385502557,0.20162707981830033,0.32649008455086953,0.8988464960294148,0.10401700223908272,0.3115256051056872,0.8939851520819843,2015.7058823529412,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper middle,,
ATF,-35.84166665,55.29166665,314.15,0.7498094859919268,0.8566540028713318,0.7227986338857029,0.938623275875698,0.9154887724237858,0.706501667115753,0.9012634985793625,0.9422726511783642,0.6788744097158865,0.8642628366445153,0.9982907936877965,0.6395518754861612,0.8122156489252363,1.0662015559397025,0.5839715667617337,0.7597217665862208,1.1755404190399523,0.5141510163971563,0.671353102320717,1.2831122981482574,0.4407080957394922,0.5848456977657015,1.4052084628238624,0.39141150207270076,0.5110520655184644,1.4907408253029615,2015.5,12.0,61985099999.0,0.7498094859919268,0.8566540028713318,0.7227986338857029,0.938623275875698,0.9154887724237858,0.706501667115753,0.9012634985793625,0.9422726511783642,0.6788744097158865,0.8642628366445153,0.9982907936877965,0.6395518754861612,0.8122156489252363,1.0662015559397025,0.5839715667617337,0.7597217665862208,1.1755404190399523,0.5141510163971563,0.671353102320717,1.2831122981482574,0.4407080957394922,0.5848456977657015,1.4052084628238624,0.39141150207270076,0.5110520655184644,1.4907408253029615,,,
