,time
0,1985-04-24 12:00:00
1,1985-05-01 12:00:00
2,1985-05-02 12:00:00
3,1985-05-03 12:00:00
4,1985-05-04 12:00:00
5,1985-05-05 12:00:00
6,1985-05-06 12:00:00
7,1985-05-07 12:00:00
8,1985-05-08 12:00:00
9,1985-05-09 12:00:00
10,1985-05-10 12:00:00
11,1985-05-11 12:00:00
12,1985-05-12 12:00:00
13,1985-05-13 12:00:00
14,1985-05-14 12:00:00
15,1985-05-15 12:00:00
16,1985-05-16 12:00:00
17,1985-05-17 12:00:00
18,1985-05-18 12:00:00
19,1985-05-19 12:00:00
20,1985-05-20 12:00:00
21,1985-05-21 12:00:00
22,1985-05-22 12:00:00
23,1985-05-23 12:00:00
24,1985-05-24 12:00:00
25,1985-05-25 12:00:00
26,1985-05-26 12:00:00
27,1985-05-27 12:00:00
28,1985-05-28 12:00:00
29,1985-05-29 12:00:00
30,1985-05-30 12:00:00
31,1985-05-31 12:00:00
32,1985-06-01 12:00:00
33,1985-06-02 12:00:00
34,1985-06-03 12:00:00
35,1985-06-04 12:00:00
36,1985-06-05 12:00:00
37,1985-06-06 12:00:00
38,1985-06-07 12:00:00
39,1985-06-08 12:00:00
40,1985-06-09 12:00:00
41,1985-06-10 12:00:00
42,1985-06-11 12:00:00
43,1985-06-12 12:00:00
44,1985-06-13 12:00:00
45,1985-06-14 12:00:00
46,1985-06-15 12:00:00
47,1985-06-16 12:00:00
48,1985-06-17 12:00:00
49,1985-06-18 12:00:00
50,1985-06-19 12:00:00
51,1985-06-20 12:00:00
52,1985-06-21 12:00:00
53,1985-06-22 12:00:00
54,1985-06-23 12:00:00
55,1985-06-24 12:00:00
56,1985-06-25 12:00:00
57,1985-06-26 12:00:00
58,1985-06-27 12:00:00
59,1985-06-28 12:00:00
60,1985-06-29 12:00:00
61,1985-06-30 12:00:00
62,1985-07-01 12:00:00
63,1985-07-02 12:00:00
64,1985-07-03 12:00:00
65,1985-07-04 12:00:00
66,1985-07-05 12:00:00
67,1985-07-06 12:00:00
68,1985-07-07 12:00:00
69,1985-07-08 12:00:00
70,1985-07-09 12:00:00
71,1985-07-10 12:00:00
72,1985-07-11 12:00:00
73,1985-07-12 12:00:00
74,1985-07-13 12:00:00
75,1985-07-14 12:00:00
76,1985-07-15 12:00:00
77,1985-07-16 12:00:00
78,1985-07-17 12:00:00
79,1985-07-18 12:00:00
80,1985-07-19 12:00:00
81,1985-07-20 12:00:00
82,1985-07-21 12:00:00
83,1985-07-22 12:00:00
84,1985-07-23 12:00:00
85,1985-07-24 12:00:00
86,1985-07-25 12:00:00
87,1985-07-26 12:00:00
88,1985-07-27 12:00:00
89,1985-07-28 12:00:00
90,1985-07-29 12:00:00
91,1985-07-30 12:00:00
92,1985-07-31 12:00:00
93,1985-08-01 12:00:00
94,1985-08-02 12:00:00
95,1985-08-03 12:00:00
96,1985-08-04 12:00:00
97,1985-08-05 12:00:00
98,1985-08-06 12:00:00
99,1985-08-07 12:00:00
100,1985-08-08 12:00:00
101,1985-08-09 12:00:00
102,1985-08-10 12:00:00
103,1985-08-11 12:00:00
104,1985-08-12 12:00:00
105,1985-08-13 12:00:00
106,1985-08-14 12:00:00
107,1985-08-15 12:00:00
108,1985-08-16 12:00:00
109,1985-08-17 12:00:00
110,1985-08-18 12:00:00
111,1985-08-19 12:00:00
112,1985-08-20 12:00:00
113,1985-08-21 12:00:00
114,1985-08-22 12:00:00
115,1985-08-23 12:00:00
116,1985-08-24 12:00:00
117,1985-08-25 12:00:00
118,1985-08-26 12:00:00
119,1985-08-27 12:00:00
120,1985-08-28 12:00:00
121,1985-08-29 12:00:00
122,1985-08-30 12:00:00
123,1985-08-31 12:00:00
124,1985-09-01 12:00:00
125,1985-09-02 12:00:00
126,1985-09-03 12:00:00
127,1985-09-04 12:00:00
128,1985-09-05 12:00:00
129,1985-09-06 12:00:00
130,1985-09-07 12:00:00
131,1985-09-08 12:00:00
132,1985-09-09 12:00:00
133,1985-09-10 12:00:00
134,1985-09-11 12:00:00
135,1985-09-12 12:00:00
136,1985-09-13 12:00:00
137,1985-09-14 12:00:00
138,1985-09-15 12:00:00
139,1985-09-16 12:00:00
140,1985-09-17 12:00:00
141,1985-09-18 12:00:00
142,1985-09-19 12:00:00
143,1985-09-20 12:00:00
144,1985-09-21 12:00:00
145,1985-09-22 12:00:00
146,1985-09-23 12:00:00
147,1985-09-24 12:00:00
148,1985-09-25 12:00:00
149,1985-09-26 12:00:00
150,1985-09-27 12:00:00
151,1985-09-28 12:00:00
152,1985-09-29 12:00:00
153,1985-09-30 12:00:00
154,1985-10-01 12:00:00
155,1985-10-02 12:00:00
156,1985-10-03 12:00:00
157,1985-10-04 12:00:00
158,1985-10-05 12:00:00
159,1985-10-06 12:00:00
160,1985-10-07 12:00:00
161,1985-10-08 12:00:00
162,1985-10-09 12:00:00
163,1985-10-10 12:00:00
164,1985-10-11 12:00:00
165,1985-10-12 12:00:00
166,1985-10-13 12:00:00
167,1985-10-14 12:00:00
168,1985-10-15 12:00:00
169,1985-10-16 12:00:00
170,1985-10-17 12:00:00
171,1985-10-18 12:00:00
172,1985-10-19 12:00:00
173,1985-10-20 12:00:00
174,1985-10-21 12:00:00
175,1985-10-22 12:00:00
176,1985-10-23 12:00:00
177,1985-10-24 12:00:00
178,1985-10-25 12:00:00
179,1985-10-26 12:00:00
180,1985-10-27 12:00:00
