time,t2m_d00,t2m_d01,t2m_d02,t2m_d03,t2m_d04,t2m_d05,t2m_d06,t2m_d07,t2m_d08,t2m_era5_mean,t2m_era5_std
2010-01-01,263.47787,263.72662,264.22058,264.06213,263.6167,263.12158,264.19653,271.09937,266.4897,265.72382,6.1514144
2010-01-02,264.14368,264.5927,267.19305,266.53705,268.6272,265.95676,266.99127,266.45428,270.15805,265.51013,4.676621
2010-01-03,271.01178,270.72253,269.44955,270.59143,269.58508,271.48492,270.59814,264.9206,270.20233,265.88263,5.1431994
2010-01-04,261.30325,261.508,260.52896,260.02344,266.32956,267.19214,266.3822,264.79315,269.09555,264.88974,6.2593355
2010-01-05,264.96298,265.66016,265.1296,266.31577,267.33405,262.44193,261.85776,270.12964,261.23383,264.28635,6.5787554
2010-01-06,263.771,264.51413,264.4687,266.34088,264.08575,265.8388,266.14923,262.9183,266.02487,263.2825,6.5060124
2010-01-07,266.23993,266.22864,264.80145,263.69778,267.16357,263.8629,263.89838,266.34137,265.47522,266.06393,5.1422005
2010-01-08,267.6617,266.19986,266.92975,267.4635,264.5322,266.9135,269.50967,264.79242,262.59088,265.41022,5.827528
2010-01-09,269.4428,269.49457,269.2388,269.35263,266.83633,271.27533,266.1526,273.8899,271.69174,265.99963,5.1401734
2010-01-10,276.23914,275.96964,276.10455,275.92374,276.15814,275.3905,274.68933,270.49234,275.1715,265.9362,6.932885
2010-01-11,274.91022,274.49716,275.63544,274.48523,275.51385,276.39648,275.54376,270.78357,269.7004,265.62045,6.1450615
2010-01-12,270.9116,271.77246,271.8731,270.47626,272.05887,268.94116,268.97607,267.17792,265.23987,264.89224,6.631979
2010-01-13,274.0277,274.57916,274.3621,274.10925,273.623,268.46716,275.52426,269.20862,268.61285,264.21628,5.7410254
2010-01-14,274.3603,273.96783,274.2852,274.4848,274.36017,273.53284,264.523,274.95087,272.65082,264.68246,5.526846
2010-01-15,270.5157,271.47256,269.00177,272.30234,268.19806,275.01865,269.74158,272.17432,273.8319,264.833,5.0799217
2010-01-16,269.73093,269.86768,269.90955,268.97583,268.40106,271.46973,272.83643,268.37115,273.04852,265.84946,5.5160675
2010-01-17,272.47015,271.75848,272.2375,271.59082,273.45798,267.06622,271.00287,273.5714,273.74283,267.98502,4.3154445
2010-01-18,269.01694,266.279,265.82825,266.234,266.60544,265.15613,264.40756,266.27295,270.2079,265.83313,4.8790474
2010-01-19,271.20297,268.8682,268.01,267.88922,267.90527,267.90448,267.0644,270.0028,265.82233,265.07895,6.224074
2010-01-20,275.30017,274.59766,273.53522,273.60324,274.33252,272.285,275.26053,273.11432,275.61972,263.32538,6.069269
2010-01-21,276.6926,275.87012,275.9766,275.86096,275.6056,274.34015,274.0038,269.9961,275.88583,264.1089,6.3280764
2010-01-22,271.97354,271.19083,271.3833,269.9204,270.50275,270.02423,270.7893,267.325,273.09082,265.6151,6.286692
2010-01-23,268.55353,268.14105,267.85175,267.11633,267.32672,267.82556,265.39447,265.6155,265.17145,264.05136,6.1353297
2010-01-24,267.30853,268.08948,267.6612,265.1826,264.45813,265.18762,266.9004,266.8894,265.78998,263.01868,5.9152007
2010-01-25,268.44806,269.5531,271.79236,272.63672,271.87943,264.6808,272.52158,271.34583,271.474,263.75854,6.1062493
2010-01-26,270.5407,268.226,268.61713,268.63272,272.6283,270.25497,267.94684,272.74344,271.9713,263.8181,6.93558
2010-01-27,276.591,275.61523,276.17102,275.6465,270.5277,271.5221,273.40924,271.66196,271.67102,263.618,7.549364
2010-01-28,273.67017,271.80847,270.9749,270.10852,270.01633,267.9657,269.60718,274.22668,274.6353,263.74796,6.82825
2010-01-29,258.41693,259.41733,258.43787,257.85474,261.24133,269.56836,263.17078,272.05713,269.95233,262.08475,6.851324
2010-01-30,261.25266,261.1315,260.8504,262.10764,258.60706,259.72577,265.67438,261.976,268.85742,262.96555,6.9460406
2010-01-31,262.31067,262.4041,262.41064,262.78638,262.64926,260.80447,259.21683,263.64273,264.2129,263.6494,6.0960603
2010-02-01,262.69003,262.38235,262.34845,263.00604,263.05026,263.83847,261.24594,259.92932,262.59183,263.9086,6.276416
2010-02-02,263.58047,262.86847,263.18414,263.39566,265.6446,265.2522,264.10773,261.51324,265.4427,263.53622,6.3484426
2010-02-03,265.92838,265.6424,265.21408,265.35956,264.99976,266.2978,266.3258,264.02634,264.97845,263.35623,6.2345686
2010-02-04,267.96988,268.147,266.2343,266.371,268.01245,267.65155,269.00446,272.21512,266.21375,262.95325,5.86104
2010-02-05,269.94943,268.67902,268.8543,268.83667,267.81665,266.88165,268.44098,269.2768,269.08722,262.8189,5.5313597
2010-02-06,272.35706,272.0243,271.47168,270.72284,271.49408,266.34137,268.7249,267.77313,273.09424,262.50565,6.157621
2010-02-07,271.93817,271.497,270.86856,271.49506,272.91766,272.26636,265.43915,271.54904,269.06836,261.65793,7.336193
2010-02-08,269.00696,269.54626,269.16083,268.66864,268.63043,270.61026,270.261,263.07886,265.70856,262.94177,6.228915
2010-02-09,267.0935,265.38684,265.8291,265.28577,265.25354,265.6214,266.48676,271.44583,266.4301,263.6732,5.8902717
2010-02-10,264.1463,264.502,264.71655,264.7256,264.81946,266.41022,264.74707,264.1225,267.51282,264.05414,7.151885
2010-02-11,265.4179,266.17822,265.84348,266.9706,269.2832,269.3646,269.17456,262.79108,266.76733,265.57834,6.5378947
2010-02-12,268.21783,267.77634,269.07916,269.0462,268.6123,270.4152,270.1595,270.58792,265.74277,266.55658,5.0734735
2010-02-13,274.95966,274.56152,274.3041,272.85608,273.1214,274.6236,274.61353,274.95068,273.6955,266.10944,5.48618
2010-02-14,270.46942,269.95465,272.03726,271.74353,271.86133,270.13422,270.58588,269.39856,272.00555,265.47824,6.3881536
2010-02-15,272.6518,272.6414,272.5512,272.53577,271.26678,269.58215,268.79712,271.69263,270.73236,265.36493,6.491416
2010-02-16,269.6965,269.6401,270.24567,270.31317,270.5783,266.98474,264.08826,267.9438,270.95255,265.27838,6.0436974
2010-02-17,263.59424,262.78763,262.5443,263.0912,264.50818,264.50647,262.9865,264.22095,266.65335,265.26654,6.519641
2010-02-18,260.81717,260.8103,260.52924,260.8531,261.6261,263.19922,262.06375,262.3466,263.6007,264.4154,5.6179237
