radiosonde_id,lat,lon,year_first,year_last,iso3
ACM00078861,17.117,-61.783,1947,1993,ATG
AEM00041217,24.4333,54.65,1983,2023,ARE
AFM00040911,36.7,67.2,2010,2014,AFG
AFM00040913,36.6667,68.9167,2010,2013,AFG
AFM00040938,34.217,62.217,1978,1988,AFG
AFM00040948,34.55,69.2167,1961,2021,AFG
AFM00040990,31.5,65.85,1976,2014,AFG
AGM00060360,36.833,7.817,1973,2008,DZA
AGM00060390,36.6833,3.2167,1948,2023,DZA
AGM00060402,36.717,5.067,1973,1988,DZA
AGM00060419,36.283,6.617,1973,2008,DZA
AGM00060430,36.3,2.233,1973,1990,DZA
AGM00060445,36.183,5.25,1983,1989,DZA
AGM00060475,35.417,8.117,1974,1991,DZA
AGM00060490,35.633,-0.6,1973,2008,DZA
AGM00060511,35.35,1.467,1987,1988,DZA
AGM00060525,34.8,5.733,1973,2002,DZA
AGM00060535,34.6833,3.25,1974,1989,DZA
AGM00060549,33.5333,-0.2833,1982,2012,DZA
AGM00060550,33.683,1.0,1977,1991,DZA
AGM00060559,33.5,6.783,1973,2008,DZA
AGM00060566,32.383,3.817,1973,2008,DZA
AGM00060571,31.5,-2.25,1948,2023,DZA
AGM00060580,31.9333,5.4,1963,1997,DZA
AGM00060590,30.567,2.867,1973,2008,DZA
AGM00060602,30.133,-2.167,1981,1990,DZA
AGM00060607,29.25,0.283,1973,1991,DZA
AGM00060611,28.05,9.633,1973,1989,DZA
AGM00060620,27.883,-0.283,1973,2008,DZA
AGM00060630,27.2333,2.5,1964,2023,DZA
AGM00060640,26.5,8.417,1973,1986,DZA
AGM00060656,27.7,-8.1667,1973,2023,DZA
AGM00060680,22.8,5.4333,1934,2023,DZA
AGM00060686,21.3333,0.95,2011,2012,DZA
AJM00037860,40.5333,50.0,1947,2016,AZE
AJM00037985,38.733,48.833,1953,1997,AZE
AMM00037789,40.2169,44.5017,1949,2022,ARM
AOM00066160,-8.85,13.233,1948,1993,AGO
AQM00091765,-14.3383,-170.7192,1966,2023,ASM
ARM00087047,-24.85,-65.4833,1965,2014,ARG
ARM00087155,-27.45,-59.05,1961,2023,ARG
ARM00087244,-29.9,-63.6833,2018,2018,ARG
ARM00087344,-31.3167,-64.2167,1959,2023,ARG
ARM00087418,-32.8333,-68.7833,1974,2023,ARG
ARM00087576,-34.8167,-58.5333,1957,2022,ARG
ARM00087623,-36.5667,-64.2667,1965,2023,ARG
ARM00087715,-38.95,-68.1333,1957,2023,ARG
ARM00087748,-38.7333,-62.1667,1964,1993,ARG
ARM00087860,-45.7833,-67.5,1958,2023,ARG
ASM00094120,-12.4239,130.8925,1943,2023,AUS
ASM00094150,-12.2742,136.8203,1985,2023,AUS
ASM00094170,-12.6778,141.9208,1993,2023,AUS
ASM00094175,-10.583,142.217,1951,1993,
ASM00094203,-17.9475,122.2353,1950,2023,AUS
ASM00094212,-18.2292,127.6636,1950,2016,AUS
ASM00094238,-19.6422,134.1833,1969,2012,AUS
ASM00094259,-17.7333,139.5333,1987,1987,AUS
ASM00094287,-16.8736,145.7458,1947,2014,AUS
ASM00094294,-19.2483,146.7661,1943,2019,AUS
ASM00094299,-16.2833,149.965,1947,2023,
ASM00094300,-24.8878,113.67,1950,2012,AUS
ASM00094302,-22.2406,114.0967,1975,2023,AUS
ASM00094312,-20.3725,118.6317,1950,2023,AUS
ASM00094326,-23.795,133.8889,1946,2023,AUS
ASM00094332,-20.6778,139.4875,1975,2023,AUS
ASM00094346,-23.4372,144.2769,1966,2017,AUS
ASM00094367,-21.1172,149.2169,1959,2016,AUS
ASM00094374,-23.3753,150.4775,1943,2022,AUS
ASM00094380,-23.85,151.25,1957,1993,AUS
ASM00094403,-28.8044,114.6989,1950,2023,AUS
ASM00094430,-26.6136,118.5372,1951,2023,AUS
ASM00094461,-25.0342,128.3011,1956,2023,AUS
ASM00094510,-26.4139,146.2558,1942,2023,AUS
ASM00094578,-27.3917,153.1292,1943,2023,AUS
ASM00094610,-31.9275,115.9764,1948,2023,AUS
ASM00094637,-30.7847,121.4533,1950,2023,AUS
ASM00094638,-33.83,121.8925,1969,2023,AUS
ASM00094646,-30.833,128.1,1950,1995,AUS
