radiosonde_id,year,nobs,lat,lon,year_first,year_last
ACM00078861,1985,219,17.117,-61.783,1947,1993
ACM00078861,1986,207,17.117,-61.783,1947,1993
ACM00078861,1987,218,17.117,-61.783,1947,1993
ACM00078861,1988,185,17.117,-61.783,1947,1993
ACM00078861,1989,153,17.117,-61.783,1947,1993
ACM00078861,1990,170,17.117,-61.783,1947,1993
ACM00078861,1991,142,17.117,-61.783,1947,1993
ACM00078861,1992,184,17.117,-61.783,1947,1993
ACM00078861,1993,62,17.117,-61.783,1947,1993
AEM00041217,1985,1097,24.4333,54.65,1983,2023
AEM00041217,1986,1376,24.4333,54.65,1983,2023
AEM00041217,1987,1306,24.4333,54.65,1983,2023
AEM00041217,1988,1315,24.4333,54.65,1983,2023
AEM00041217,1989,1365,24.4333,54.65,1983,2023
AEM00041217,1990,1346,24.4333,54.65,1983,2023
AEM00041217,1991,1494,24.4333,54.65,1983,2023
AEM00041217,1992,1736,24.4333,54.65,1983,2023
AEM00041217,1993,1487,24.4333,54.65,1983,2023
AEM00041217,1994,1520,24.4333,54.65,1983,2023
AEM00041217,1995,1726,24.4333,54.65,1983,2023
AEM00041217,1996,1726,24.4333,54.65,1983,2023
AEM00041217,1997,1301,24.4333,54.65,1983,2023
AEM00041217,1998,1251,24.4333,54.65,1983,2023
AEM00041217,1999,1169,24.4333,54.65,1983,2023
AEM00041217,2000,1167,24.4333,54.65,1983,2023
AEM00041217,2001,1412,24.4333,54.65,1983,2023
AEM00041217,2002,1198,24.4333,54.65,1983,2023
AEM00041217,2003,701,24.4333,54.65,1983,2023
AEM00041217,2004,688,24.4333,54.65,1983,2023
AEM00041217,2005,579,24.4333,54.65,1983,2023
AEM00041217,2006,257,24.4333,54.65,1983,2023
AEM00041217,2007,339,24.4333,54.65,1983,2023
AEM00041217,2008,357,24.4333,54.65,1983,2023
AEM00041217,2009,670,24.4333,54.65,1983,2023
AEM00041217,2010,699,24.4333,54.65,1983,2023
AEM00041217,2011,696,24.4333,54.65,1983,2023
AEM00041217,2012,710,24.4333,54.65,1983,2023
AEM00041217,2013,714,24.4333,54.65,1983,2023
AEM00041217,2014,683,24.4333,54.65,1983,2023
AEM00041217,2015,717,24.4333,54.65,1983,2023
AEM00041217,2016,715,24.4333,54.65,1983,2023
AEM00041217,2017,714,24.4333,54.65,1983,2023
AEM00041217,2018,725,24.4333,54.65,1983,2023
AEM00041217,2019,695,24.4333,54.65,1983,2023
AEM00041217,2020,729,24.4333,54.65,1983,2023
AFM00040911,2010,308,36.7,67.2,2010,2014
AFM00040911,2011,611,36.7,67.2,2010,2014
AFM00040911,2012,458,36.7,67.2,2010,2014
AFM00040911,2013,402,36.7,67.2,2010,2014
AFM00040911,2014,400,36.7,67.2,2010,2014
AFM00040913,2010,781,36.6667,68.9167,2010,2013
AFM00040913,2011,1372,36.6667,68.9167,2010,2013
AFM00040913,2012,1446,36.6667,68.9167,2010,2013
AFM00040913,2013,941,36.6667,68.9167,2010,2013
AFM00040938,1985,91,34.217,62.217,1978,1988
AFM00040938,1987,49,34.217,62.217,1978,1988
AFM00040938,1988,36,34.217,62.217,1978,1988
AFM00040948,1985,678,34.55,69.2167,1961,2021
AFM00040948,1986,218,34.55,69.2167,1961,2021
AFM00040948,1987,422,34.55,69.2167,1961,2021
AFM00040948,1988,419,34.55,69.2167,1961,2021
AFM00040948,1989,28,34.55,69.2167,1961,2021
AFM00040948,1990,73,34.55,69.2167,1961,2021
AFM00040948,2003,596,34.55,69.2167,1961,2021
AFM00040948,2004,337,34.55,69.2167,1961,2021
AFM00040948,2005,568,34.55,69.2167,1961,2021
AFM00040948,2006,617,34.55,69.2167,1961,2021
AFM00040948,2007,679,34.55,69.2167,1961,2021
AFM00040948,2008,603,34.55,69.2167,1961,2021
AFM00040948,2009,639,34.55,69.2167,1961,2021
AFM00040948,2010,637,34.55,69.2167,1961,2021
AFM00040948,2011,388,34.55,69.2167,1961,2021
AFM00040948,2012,616,34.55,69.2167,1961,2021
AFM00040948,2013,535,34.55,69.2167,1961,2021
AFM00040948,2014,593,34.55,69.2167,1961,2021
AFM00040948,2015,590,34.55,69.2167,1961,2021
AFM00040948,2016,576,34.55,69.2167,1961,2021
AFM00040948,2017,664,34.55,69.2167,1961,2021
